language,noun,color,attribute,case,count_index,surface
en,mouse,red,large,dat,,the large red mouse
en,mouse,red,large,plural,0,two large red mice
en,mouse,red,large,plural,1,three large red mice
en,mouse,red,large,plural,2,four large red mice
en,mouse,red,large,plural,3,five large red mice
en,mouse,red,large,plural,4,six large red mice
en,mouse,red,large,plural,5,seven large red mice
en,mouse,red,large,plural,6,eight large red mice
en,mouse,red,young,nom,,the young red mouse
en,mouse,red,young,acc,,the young red mouse
en,mouse,red,young,dat,,the young red mouse
en,mouse,red,young,plural,0,two young red mice
en,mouse,red,young,plural,1,three young red mice
en,mouse,red,young,plural,2,four young red mice
en,mouse,red,young,plural,3,five young red mice
en,mouse,red,young,plural,4,six young red mice
en,mouse,red,young,plural,5,seven young red mice
en,mouse,red,young,plural,6,eight young red mice
en,mouse,red,old,nom,,the old red mouse
en,mouse,red,old,acc,,the old red mouse
en,mouse,red,old,dat,,the old red mouse
en,mouse,red,old,plural,0,two old red mice
en,mouse,red,old,plural,1,three old red mice
en,mouse,red,old,plural,2,four old red mice
en,mouse,red,old,plural,3,five old red mice
en,mouse,red,old,plural,4,six old red mice
en,mouse,red,old,plural,5,seven old red mice
en,mouse,red,old,plural,6,eight old red mice
en,mouse,blue,small,nom,,the small blue mouse
en,mouse,blue,small,acc,,the small blue mouse
en,mouse,blue,small,dat,,the small blue mouse
en,mouse,blue,small,plural,0,two small blue mice
en,mouse,blue,small,plural,1,three small blue mice
en,mouse,blue,small,plural,2,four small blue mice
en,mouse,blue,small,plural,3,five small blue mice
en,mouse,blue,small,plural,4,six small blue mice
en,mouse,blue,small,plural,5,seven small blue mice
en,mouse,blue,small,plural,6,eight small blue mice
en,mouse,blue,large,nom,,the large blue mouse
en,mouse,blue,large,acc,,the large blue mouse
en,mouse,blue,large,dat,,the large blue mouse
en,mouse,blue,large,plural,0,two large blue mice
en,mouse,blue,large,plural,1,three large blue mice
en,mouse,blue,large,plural,2,four large blue mice
en,mouse,blue,large,plural,3,five large blue mice
en,mouse,blue,large,plural,4,six large blue mice
en,mouse,blue,large,plural,5,seven large blue mice
en,mouse,blue,large,plural,6,eight large blue mice
en,mouse,blue,young,nom,,the young blue mouse
en,mouse,blue,young,acc,,the young blue mouse
en,mouse,blue,young,dat,,the young blue mouse
en,mouse,blue,young,plural,0,two young blue mice
en,mouse,blue,young,plural,1,three young blue mice
en,mouse,blue,young,plural,2,four young blue mice
en,mouse,blue,young,plural,3,five young blue mice
en,mouse,blue,young,plural,4,six young blue mice
en,mouse,blue,young,plural,5,seven young blue mice
en,mouse,blue,young,plural,6,eight young blue mice
en,mouse,blue,old,nom,,the old blue mouse
en,mouse,blue,old,acc,,the old blue mouse
en,mouse,blue,old,dat,,the old blue mouse
en,mouse,blue,old,plural,0,two old blue mice
en,mouse,blue,old,plural,1,three old blue mice
en,mouse,blue,old,plural,2,four old blue mice
en,mouse,blue,old,plural,3,five old blue mice
en,mouse,blue,old,plural,4,six old blue mice
en,mouse,blue,old,plural,5,seven old blue mice
en,mouse,blue,old,plural,6,eight old blue mice
en,mouse,green,small,nom,,the small green mouse
en,mouse,green,small,acc,,the small green mouse
en,mouse,green,small,dat,,the small green mouse
en,mouse,green,small,plural,0,two small green mice
en,mouse,green,small,plural,1,three small green mice
en,mouse,green,small,plural,2,four small green mice
en,mouse,green,small,plural,3,five small green mice
en,mouse,green,small,plural,4,six small green mice
en,mouse,green,small,plural,5,seven small green mice
en,mouse,green,small,plural,6,eight small green mice
en,mouse,green,large,nom,,the large green mouse
en,mouse,green,large,acc,,the large green mouse
en,mouse,green,large,dat,,the large green mouse
en,mouse,green,large,plural,0,two large green mice
en,mouse,green,large,plural,1,three large green mice
en,mouse,green,large,plural,2,four large green mice
en,mouse,green,large,plural,3,five large green mice
en,mouse,green,large,plural,4,six large green mice
en,mouse,green,large,plural,5,seven large green mice
en,mouse,green,large,plural,6,eight large green mice
en,mouse,green,young,nom,,the young green mouse
en,mouse,green,young,acc,,the young green mouse
en,mouse,green,young,dat,,the young green mouse
en,mouse,green,young,plural,0,two young green mice
en,mouse,green,young,plural,1,three young green mice
en,mouse,green,young,plural,2,four young green mice
en,mouse,green,young,plural,3,five young green mice
en,mouse,green,young,plural,4,six young green mice
en,mouse,green,young,plural,5,seven young green mice
en,mouse,green,young,plural,6,eight young green mice
en,mouse,green,old,nom,,the old green mouse
en,mouse,green,old,acc,,the old green mouse
en,mouse,green,old,dat,,the old green mouse
en,mouse,green,old,plural,0,two old green mice
en,mouse,green,old,plural,1,three old green mice
en,mouse,green,old,plural,2,four old green mice
en,mouse,green,old,plural,3,five old green mice
en,mouse,green,old,plural,4,six old green mice
en,mouse,green,old,plural,5,seven old green mice
en,mouse,green,old,plural,6,eight old green mice
en,mouse,yellow,small,nom,,the small yellow mouse
en,mouse,yellow,small,acc,,the small yellow mouse
en,mouse,yellow,small,dat,,the small yellow mouse
en,mouse,yellow,small,plural,0,two small yellow mice
en,mouse,yellow,small,plural,1,three small yellow mice
en,mouse,yellow,small,plural,2,four small yellow mice
en,mouse,yellow,small,plural,3,five small yellow mice
en,mouse,yellow,small,plural,4,six small yellow mice
en,mouse,yellow,small,plural,5,seven small yellow mice
en,mouse,yellow,small,plural,6,eight small yellow mice
en,mouse,yellow,large,nom,,the large yellow mouse
en,mouse,yellow,large,acc,,the large yellow mouse
en,mouse,yellow,large,dat,,the large yellow mouse
en,mouse,yellow,large,plural,0,two large yellow mice
en,mouse,yellow,large,plural,1,three large yellow mice
en,mouse,yellow,large,plural,2,four large yellow mice
en,mouse,yellow,large,plural,3,five large yellow mice
en,mouse,yellow,large,plural,4,six large yellow mice
en,mouse,yellow,large,plural,5,seven large yellow mice
en,mouse,yellow,large,plural,6,eight large yellow mice
en,mouse,yellow,young,nom,,the young yellow mouse
en,mouse,yellow,young,acc,,the young yellow mouse
en,mouse,yellow,young,dat,,the young yellow mouse
en,mouse,yellow,young,plural,0,two young yellow mice
en,mouse,yellow,young,plural,1,three young yellow mice
en,mouse,yellow,young,plural,2,four young yellow mice
en,mouse,yellow,young,plural,3,five young yellow mice
en,mouse,yellow,young,plural,4,six young yellow mice
en,mouse,yellow,young,plural,5,seven young yellow mice
en,mouse,yellow,young,plural,6,eight young yellow mice
en,mouse,yellow,old,nom,,the old yellow mouse
en,mouse,yellow,old,acc,,the old yellow mouse
en,mouse,yellow,old,dat,,the old yellow mouse
en,mouse,yellow,old,plural,0,two old yellow mice
en,mouse,yellow,old,plural,1,three old yellow mice
en,mouse,yellow,old,plural,2,four old yellow mice
en,mouse,yellow,old,plural,3,five old yellow mice
en,mouse,yellow,old,plural,4,six old yellow mice
en,mouse,yellow,old,plural,5,seven old yellow mice
en,mouse,yellow,old,plural,6,eight old yellow mice
en,mouse,black,small,nom,,the small black mouse
en,mouse,black,small,acc,,the small black mouse
en,mouse,black,small,dat,,the small black mouse
en,mouse,black,small,plural,0,two small black mice
en,mouse,black,small,plural,1,three small black mice
en,mouse,black,small,plural,2,four small black mice
en,mouse,black,small,plural,3,five small black mice
en,mouse,black,small,plural,4,six small black mice
en,mouse,black,small,plural,5,seven small black mice
en,mouse,black,small,plural,6,eight small black mice
en,mouse,black,large,nom,,the large black mouse
en,mouse,black,large,acc,,the large black mouse
en,mouse,black,large,dat,,the large black mouse
en,mouse,black,large,plural,0,two large black mice
en,mouse,black,large,plural,1,three large black mice
en,mouse,black,large,plural,2,four large black mice
en,mouse,black,large,plural,3,five large black mice
en,mouse,black,large,plural,4,six large black mice
en,mouse,black,large,plural,5,seven large black mice
en,mouse,black,large,plural,6,eight large black mice
en,mouse,black,young,nom,,the young black mouse
en,mouse,black,young,acc,,the young black mouse
en,mouse,black,young,dat,,the young black mouse
en,mouse,black,young,plural,0,two young black mice
en,mouse,black,young,plural,1,three young black mice
en,mouse,black,young,plural,2,four young black mice
en,mouse,black,young,plural,3,five young black mice
en,mouse,black,young,plural,4,six young black mice
en,mouse,black,young,plural,5,seven young black mice
en,mouse,black,young,plural,6,eight young black mice
en,mouse,black,old,nom,,the old black mouse
en,mouse,black,old,acc,,the old black mouse
en,mouse,black,old,dat,,the old black mouse
en,mouse,black,old,plural,0,two old black mice
en,mouse,black,old,plural,1,three old black mice
en,mouse,black,old,plural,2,four old black mice
en,mouse,black,old,plural,3,five old black mice
en,mouse,black,old,plural,4,six old black mice
en,mouse,black,old,plural,5,seven old black mice
en,mouse,black,old,plural,6,eight old black mice
en,mouse,white,small,nom,,the small white mouse
en,mouse,white,small,acc,,the small white mouse
en,mouse,white,small,dat,,the small white mouse
en,mouse,white,small,plural,0,two small white mice
en,mouse,white,small,plural,1,three small white mice
en,mouse,white,small,plural,2,four small white mice
en,mouse,white,small,plural,3,five small white mice
en,mouse,white,small,plural,4,six small white mice
en,mouse,white,small,plural,5,seven small white mice
en,mouse,white,small,plural,6,eight small white mice
en,mouse,white,large,nom,,the large white mouse
en,mouse,white,large,acc,,the large white mouse
en,mouse,white,large,dat,,the large white mouse
en,mouse,white,large,plural,0,two large white mice
en,mouse,white,large,plural,1,three large white mice
en,mouse,white,large,plural,2,four large white mice
en,mouse,white,large,plural,3,five large white mice
en,mouse,white,large,plural,4,six large white mice
en,mouse,white,large,plural,5,seven large white mice
en,mouse,white,large,plural,6,eight large white mice
en,mouse,white,young,nom,,the young white mouse
en,mouse,white,young,acc,,the young white mouse
en,mouse,white,young,dat,,the young white mouse
en,mouse,white,young,plural,0,two young white mice
en,mouse,white,young,plural,1,three young white mice
en,mouse,white,young,plural,2,four young white mice
en,mouse,white,young,plural,3,five young white mice
en,mouse,white,young,plural,4,six young white mice
en,mouse,white,young,plural,5,seven young white mice
en,mouse,white,young,plural,6,eight young white mice
en,mouse,white,old,nom,,the old white mouse
en,mouse,white,old,acc,,the old white mouse
en,mouse,white,old,dat,,the old white mouse
en,mouse,white,old,plural,0,two old white mice
en,mouse,white,old,plural,1,three old white mice
en,mouse,white,old,plural,2,four old white mice
en,mouse,white,old,plural,3,five old white mice
en,mouse,white,old,plural,4,six old white mice
en,mouse,white,old,plural,5,seven old white mice
en,mouse,white,old,plural,6,eight old white mice
en,cow,red,small,nom,,the small red cow
en,cow,red,small,acc,,the small red cow
en,cow,red,small,dat,,the small red cow
en,cow,red,small,plural,0,two small red cows
en,cow,red,small,plural,1,three small red cows
en,cow,red,small,plural,2,four small red cows
en,cow,red,small,plural,3,five small red cows
en,cow,red,small,plural,4,six small red cows
en,cow,red,small,plural,5,seven small red cows
en,cow,red,small,plural,6,eight small red cows
en,cow,red,large,nom,,the large red cow
en,cow,red,large,acc,,the large red cow
en,cow,red,large,dat,,the large red cow
en,cow,red,large,plural,0,two large red cows
en,cow,red,large,plural,1,three large red cows
en,cow,red,large,plural,2,four large red cows
en,cow,red,large,plural,3,five large red cows
en,cow,red,large,plural,4,six large red cows
en,cow,red,large,plural,5,seven large red cows
en,cow,red,large,plural,6,eight large red cows
en,cow,red,young,nom,,the young red cow
en,cow,red,young,acc,,the young red cow
en,cow,red,young,dat,,the young red cow
en,cow,red,young,plural,0,two young red cows
en,cow,red,young,plural,1,three young red cows
en,cow,red,young,plural,2,four young red cows
en,cow,red,young,plural,3,five young red cows
en,cow,red,young,plural,4,six young red cows
en,cow,red,young,plural,5,seven young red cows
en,cow,red,young,plural,6,eight young red cows
en,cow,red,old,nom,,the old red cow
en,cow,red,old,acc,,the old red cow
en,cow,red,old,dat,,the old red cow
en,cow,red,old,plural,0,two old red cows
en,cow,red,old,plural,1,three old red cows
en,cow,red,old,plural,2,four old red cows
en,cow,red,old,plural,3,five old red cows
en,cow,red,old,plural,4,six old red cows
en,cow,red,old,plural,5,seven old red cows
en,cow,red,old,plural,6,eight old red cows
en,cow,blue,small,nom,,the small blue cow
en,cow,blue,small,acc,,the small blue cow
en,cow,blue,small,dat,,the small blue cow
en,cow,blue,small,plural,0,two small blue cows
en,cow,blue,small,plural,1,three small blue cows
en,cow,blue,small,plural,2,four small blue cows
en,cow,blue,small,plural,3,five small blue cows
en,cow,blue,small,plural,4,six small blue cows
en,cow,blue,small,plural,5,seven small blue cows
en,cow,blue,small,plural,6,eight small blue cows
en,cow,blue,large,nom,,the large blue cow
en,cow,blue,large,acc,,the large blue cow
en,cow,blue,large,dat,,the large blue cow
en,cow,blue,large,plural,0,two large blue cows
en,cow,blue,large,plural,1,three large blue cows
en,cow,blue,large,plural,2,four large blue cows
en,cow,blue,large,plural,3,five large blue cows
en,cow,blue,large,plural,4,six large blue cows
en,cow,blue,large,plural,5,seven large blue cows
en,cow,blue,large,plural,6,eight large blue cows
en,cow,blue,young,nom,,the young blue cow
en,cow,blue,young,acc,,the young blue cow
en,cow,blue,young,dat,,the young blue cow
en,cow,blue,young,plural,0,two young blue cows
en,cow,blue,young,plural,1,three young blue cows
en,cow,blue,young,plural,2,four young blue cows
en,cow,blue,young,plural,3,five young blue cows
en,cow,blue,young,plural,4,six young blue cows
en,cow,blue,young,plural,5,seven young blue cows
en,cow,blue,young,plural,6,eight young blue cows
en,cow,blue,old,nom,,the old blue cow
en,cow,blue,old,acc,,the old blue cow
en,cow,blue,old,dat,,the old blue cow
en,cow,blue,old,plural,0,two old blue cows
en,cow,blue,old,plural,1,three old blue cows
en,cow,blue,old,plural,2,four old blue cows
en,cow,blue,old,plural,3,five old blue cows
en,cow,blue,old,plural,4,six old blue cows
en,cow,blue,old,plural,5,seven old blue cows
en,cow,blue,old,plural,6,eight old blue cows
en,cow,green,small,nom,,the small green cow
en,cow,green,small,acc,,the small green cow
en,cow,green,small,dat,,the small green cow
en,cow,green,small,plural,0,two small green cows
en,cow,green,small,plural,1,three small green cows
en,cow,green,small,plural,2,four small green cows
en,cow,green,small,plural,3,five small green cows
en,cow,green,small,plural,4,six small green cows
en,cow,green,small,plural,5,seven small green cows
en,cow,green,small,plural,6,eight small green cows
en,cow,green,large,nom,,the large green cow
en,cow,green,large,acc,,the large green cow
en,cow,green,large,dat,,the large green cow
en,cow,green,large,plural,0,two large green cows
en,cow,green,large,plural,1,three large green cows
en,cow,green,large,plural,2,four large green cows
en,cow,green,large,plural,3,five large green cows
en,cow,green,large,plural,4,six large green cows
en,cow,green,large,plural,5,seven large green cows
en,cow,green,large,plural,6,eight large green cows
en,cow,green,young,nom,,the young green cow
en,cow,green,young,acc,,the young green cow
en,cow,green,young,dat,,the young green cow
en,cow,green,young,plural,0,two young green cows
en,cow,green,young,plural,1,three young green cows
en,cow,green,young,plural,2,four young green cows
en,cow,green,young,plural,3,five young green cows
en,cow,green,young,plural,4,six young green cows
en,cow,green,young,plural,5,seven young green cows
en,cow,green,young,plural,6,eight young green cows
en,cow,green,old,nom,,the old green cow
en,cow,green,old,acc,,the old green cow
en,cow,green,old,dat,,the old green cow
en,cow,green,old,plural,0,two old green cows
en,cow,green,old,plural,1,three old green cows
en,cow,green,old,plural,2,four old green cows
en,cow,green,old,plural,3,five old green cows
en,cow,green,old,plural,4,six old green cows
en,cow,green,old,plural,5,seven old green cows
en,cow,green,old,plural,6,eight old green cows
en,cow,yellow,small,nom,,the small yellow cow
en,cow,yellow,small,acc,,the small yellow cow
en,cow,yellow,small,dat,,the small yellow cow
en,cow,yellow,small,plural,0,two small yellow cows
en,cow,yellow,small,plural,1,three small yellow cows
en,cow,yellow,small,plural,2,four small yellow cows
en,cow,yellow,small,plural,3,five small yellow cows
en,cow,yellow,small,plural,4,six small yellow cows
en,cow,yellow,small,plural,5,seven small yellow cows
en,cow,yellow,small,plural,6,eight small yellow cows
en,cow,yellow,large,nom,,the large yellow cow
en,cow,yellow,large,acc,,the large yellow cow
en,cow,yellow,large,dat,,the large yellow cow
en,cow,yellow,large,plural,0,two large yellow cows
en,cow,yellow,large,plural,1,three large yellow cows
en,cow,yellow,large,plural,2,four large yellow cows
en,cow,yellow,large,plural,3,five large yellow cows
en,cow,yellow,large,plural,4,six large yellow cows
en,cow,yellow,large,plural,5,seven large yellow cows
en,cow,yellow,large,plural,6,eight large yellow cows
en,cow,yellow,young,nom,,the young yellow cow
en,cow,yellow,young,acc,,the young yellow cow
en,cow,yellow,young,dat,,the young yellow cow
en,cow,yellow,young,plural,0,two young yellow cows
en,cow,yellow,young,plural,1,three young yellow cows
en,cow,yellow,young,plural,2,four young yellow cows
en,cow,yellow,young,plural,3,five young yellow cows
en,cow,yellow,young,plural,4,six young yellow cows
en,cow,yellow,young,plural,5,seven young yellow cows
en,cow,yellow,young,plural,6,eight young yellow cows
en,cow,yellow,old,nom,,the old yellow cow
en,cow,yellow,old,acc,,the old yellow cow
en,cow,yellow,old,dat,,the old yellow cow
en,cow,yellow,old,plural,0,two old yellow cows
en,cow,yellow,old,plural,1,three old yellow cows
en,cow,yellow,old,plural,2,four old yellow cows
en,cow,yellow,old,plural,3,five old yellow cows
en,cow,yellow,old,plural,4,six old yellow cows
en,cow,yellow,old,plural,5,seven old yellow cows
en,cow,yellow,old,plural,6,eight old yellow cows
en,cow,black,small,nom,,the small black cow
en,cow,black,small,acc,,the small black cow
en,cow,black,small,dat,,the small black cow
en,cow,black,small,plural,0,two small black cows
en,cow,black,small,plural,1,three small black cows
en,cow,black,small,plural,2,four small black cows
en,cow,black,small,plural,3,five small black cows
en,cow,black,small,plural,4,six small black cows
en,cow,black,small,plural,5,seven small black cows
en,cow,black,small,plural,6,eight small black cows
en,cow,black,large,nom,,the large black cow
en,cow,black,large,acc,,the large black cow
en,cow,black,large,dat,,the large black cow
en,cow,black,large,plural,0,two large black cows
en,cow,black,large,plural,1,three large black cows
en,cow,black,large,plural,2,four large black cows
en,cow,black,large,plural,3,five large black cows
en,cow,black,large,plural,4,six large black cows
en,cow,black,large,plural,5,seven large black cows
en,cow,black,large,plural,6,eight large black cows
en,cow,black,young,nom,,the young black cow
en,cow,black,young,acc,,the young black cow
en,cow,black,young,dat,,the young black cow
en,cow,black,young,plural,0,two young black cows
en,cow,black,young,plural,1,three young black cows
en,cow,black,young,plural,2,four young black cows
en,cow,black,young,plural,3,five young black cows
en,cow,black,young,plural,4,six young black cows
en,cow,black,young,plural,5,seven young black cows
en,cow,black,young,plural,6,eight young black cows
en,cow,black,old,nom,,the old black cow
en,cow,black,old,acc,,the old black cow
en,cow,black,old,dat,,the old black cow
en,cow,black,old,plural,0,two old black cows
en,cow,black,old,plural,1,three old black cows
en,cow,black,old,plural,2,four old black cows
en,cow,black,old,plural,3,five old black cows
en,cow,black,old,plural,4,six old black cows
en,cow,black,old,plural,5,seven old black cows
en,cow,black,old,plural,6,eight old black cows
en,cow,white,small,nom,,the small white cow
en,cow,white,small,acc,,the small white cow
en,cow,white,small,dat,,the small white cow
en,cow,white,small,plural,0,two small white cows
en,cow,white,small,plural,1,three small white cows
en,cow,white,small,plural,2,four small white cows
en,cow,white,small,plural,3,five small white cows
en,cow,white,small,plural,4,six small white cows
en,cow,white,small,plural,5,seven small white cows
en,cow,white,small,plural,6,eight small white cows
en,cow,white,large,nom,,the large white cow
en,cow,white,large,acc,,the large white cow
en,cow,white,large,dat,,the large white cow
en,cow,white,large,plural,0,two large white cows
en,cow,white,large,plural,1,three large white cows
en,cow,white,large,plural,2,four large white cows
en,cow,white,large,plural,3,five large white cows
en,cow,white,large,plural,4,six large white cows
en,cow,white,large,plural,5,seven large white cows
en,cow,white,large,plural,6,eight large white cows
en,cow,white,young,nom,,the young white cow
en,cow,white,young,acc,,the young white cow
en,cow,white,young,dat,,the young white cow
en,cow,white,young,plural,0,two young white cows
en,cow,white,young,plural,1,three young white cows
en,cow,white,young,plural,2,four young white cows
en,cow,white,young,plural,3,five young white cows
en,cow,white,young,plural,4,six young white cows
en,cow,white,young,plural,5,seven young white cows
en,cow,white,young,plural,6,eight young white cows
en,cow,white,old,nom,,the old white cow
en,cow,white,old,acc,,the old white cow
en,cow,white,old,dat,,the old white cow
en,cow,white,old,plural,0,two old white cows
en,cow,white,old,plural,1,three old white cows
en,cow,white,old,plural,2,four old white cows
en,cow,white,old,plural,3,five old white cows
en,cow,white,old,plural,4,six old white cows
en,cow,white,old,plural,5,seven old white cows
en,cow,white,old,plural,6,eight old white cows
en,duck,red,small,nom,,the small red duck
en,duck,red,small,acc,,the small red duck
en,duck,red,small,dat,,the small red duck
en,duck,red,small,plural,0,two small red ducks
en,duck,red,small,plural,1,three small red ducks
en,duck,red,small,plural,2,four small red ducks
en,duck,red,small,plural,3,five small red ducks
en,duck,red,small,plural,4,six small red ducks
en,duck,red,small,plural,5,seven small red ducks
en,duck,red,small,plural,6,eight small red ducks
en,duck,red,large,nom,,the large red duck
en,duck,red,large,acc,,the large red duck
en,duck,red,large,dat,,the large red duck
en,duck,red,large,plural,0,two large red ducks
en,duck,red,large,plural,1,three large red ducks
en,duck,red,large,plural,2,four large red ducks
en,duck,red,large,plural,3,five large red ducks
en,duck,red,large,plural,4,six large red ducks
en,duck,red,large,plural,5,seven large red ducks
en,duck,red,large,plural,6,eight large red ducks
en,duck,red,young,nom,,the young red duck
en,duck,red,young,acc,,the young red duck
en,duck,red,young,dat,,the young red duck
en,duck,red,young,plural,0,two young red ducks
en,duck,red,young,plural,1,three young red ducks
en,duck,red,young,plural,2,four young red ducks
en,duck,red,young,plural,3,five young red ducks
en,duck,red,young,plural,4,six young red ducks
en,duck,red,young,plural,5,seven young red ducks
en,duck,red,young,plural,6,eight young red ducks
en,duck,red,old,nom,,the old red duck
en,duck,red,old,acc,,the old red duck
en,duck,red,old,dat,,the old red duck
en,duck,red,old,plural,0,two old red ducks
en,duck,red,old,plural,1,three old red ducks
en,duck,red,old,plural,2,four old red ducks
en,duck,red,old,plural,3,five old red ducks
en,duck,red,old,plural,4,six old red ducks
en,duck,red,old,plural,5,seven old red ducks
en,duck,red,old,plural,6,eight old red ducks
en,duck,blue,small,nom,,the small blue duck
en,duck,blue,small,acc,,the small blue duck
en,duck,blue,small,dat,,the small blue duck
en,duck,blue,small,plural,0,two small blue ducks
en,duck,blue,small,plural,1,three small blue ducks
en,duck,blue,small,plural,2,four small blue ducks
en,duck,blue,small,plural,3,five small blue ducks
en,duck,blue,small,plural,4,six small blue ducks
en,duck,blue,small,plural,5,seven small blue ducks
en,duck,blue,small,plural,6,eight small blue ducks
en,duck,blue,large,nom,,the large blue duck
en,duck,blue,large,acc,,the large blue duck
en,duck,blue,large,dat,,the large blue duck
en,duck,blue,large,plural,0,two large blue ducks
en,duck,blue,large,plural,1,three large blue ducks
en,duck,blue,large,plural,2,four large blue ducks
en,duck,blue,large,plural,3,five large blue ducks
en,duck,blue,large,plural,4,six large blue ducks
en,duck,blue,large,plural,5,seven large blue ducks
en,duck,blue,large,plural,6,eight large blue ducks
en,duck,blue,young,nom,,the young blue duck
en,duck,blue,young,acc,,the young blue duck
en,duck,blue,young,dat,,the young blue duck
en,duck,blue,young,plural,0,two young blue ducks
en,duck,blue,young,plural,1,three young blue ducks
en,duck,blue,young,plural,2,four young blue ducks
en,duck,blue,young,plural,3,five young blue ducks
en,duck,blue,young,plural,4,six young blue ducks
en,duck,blue,young,plural,5,seven young blue ducks
en,duck,blue,young,plural,6,eight young blue ducks
en,duck,blue,old,nom,,the old blue duck
en,duck,blue,old,acc,,the old blue duck
en,duck,blue,old,dat,,the old blue duck
en,duck,blue,old,plural,0,two old blue ducks
en,duck,blue,old,plural,1,three old blue ducks
en,duck,blue,old,plural,2,four old blue ducks
en,duck,blue,old,plural,3,five old blue ducks
en,duck,blue,old,plural,4,six old blue ducks
en,duck,blue,old,plural,5,seven old blue ducks
en,duck,blue,old,plural,6,eight old blue ducks
en,duck,green,small,nom,,the small green duck
en,duck,green,small,acc,,the small green duck
en,duck,green,small,dat,,the small green duck
en,duck,green,small,plural,0,two small green ducks
en,duck,green,small,plural,1,three small green ducks
en,duck,green,small,plural,2,four small green ducks
en,duck,green,small,plural,3,five small green ducks
en,duck,green,small,plural,4,six small green ducks
en,duck,green,small,plural,5,seven small green ducks
en,duck,green,small,plural,6,eight small green ducks
en,duck,green,large,nom,,the large green duck
en,duck,green,large,acc,,the large green duck
en,duck,green,large,dat,,the large green duck
en,duck,green,large,plural,0,two large green ducks
en,duck,green,large,plural,1,three large green ducks
en,duck,green,large,plural,2,four large green ducks
en,duck,green,large,plural,3,five large green ducks
en,duck,green,large,plural,4,six large green ducks
en,duck,green,large,plural,5,seven large green ducks
en,duck,green,large,plural,6,eight large green ducks
en,duck,green,young,nom,,the young green duck
en,duck,green,young,acc,,the young green duck
en,duck,green,young,dat,,the young green duck
en,duck,green,young,plural,0,two young green ducks
en,duck,green,young,plural,1,three young green ducks
en,duck,green,young,plural,2,four young green ducks
en,duck,green,young,plural,3,five young green ducks
en,duck,green,young,plural,4,six young green ducks
en,duck,green,young,plural,5,seven young green ducks
en,duck,green,young,plural,6,eight young green ducks
en,duck,green,old,nom,,the old green duck
en,duck,green,old,acc,,the old green duck
en,duck,green,old,dat,,the old green duck
en,duck,green,old,plural,0,two old green ducks
en,duck,green,old,plural,1,three old green ducks
en,duck,green,old,plural,2,four old green ducks
en,duck,green,old,plural,3,five old green ducks
en,duck,green,old,plural,4,six old green ducks
en,duck,green,old,plural,5,seven old green ducks
en,duck,green,old,plural,6,eight old green ducks
en,duck,yellow,small,nom,,the small yellow duck
en,duck,yellow,small,acc,,the small yellow duck
en,duck,yellow,small,dat,,the small yellow duck
en,duck,yellow,small,plural,0,two small yellow ducks
en,duck,yellow,small,plural,1,three small yellow ducks
en,duck,yellow,small,plural,2,four small yellow ducks
en,duck,yellow,small,plural,3,five small yellow ducks
en,duck,yellow,small,plural,4,six small yellow ducks
en,duck,yellow,small,plural,5,seven small yellow ducks
en,duck,yellow,small,plural,6,eight small yellow ducks
en,duck,yellow,large,nom,,the large yellow duck
en,duck,yellow,large,acc,,the large yellow duck
en,duck,yellow,large,dat,,the large yellow duck
en,duck,yellow,large,plural,0,two large yellow ducks
en,duck,yellow,large,plural,1,three large yellow ducks
en,duck,yellow,large,plural,2,four large yellow ducks
en,duck,yellow,large,plural,3,five large yellow ducks
en,duck,yellow,large,plural,4,six large yellow ducks
en,duck,yellow,large,plural,5,seven large yellow ducks
en,duck,yellow,large,plural,6,eight large yellow ducks
en,duck,yellow,young,nom,,the young yellow duck
en,duck,yellow,young,acc,,the young yellow duck
en,duck,yellow,young,dat,,the young yellow duck
en,duck,yellow,young,plural,0,two young yellow ducks
en,duck,yellow,young,plural,1,three young yellow ducks
en,duck,yellow,young,plural,2,four young yellow ducks
en,duck,yellow,young,plural,3,five young yellow ducks
en,duck,yellow,young,plural,4,six young yellow ducks
en,duck,yellow,young,plural,5,seven young yellow ducks
en,duck,yellow,young,plural,6,eight young yellow ducks
en,duck,yellow,old,nom,,the old yellow duck
en,duck,yellow,old,acc,,the old yellow duck
en,duck,yellow,old,dat,,the old yellow duck
en,duck,yellow,old,plural,0,two old yellow ducks
en,duck,yellow,old,plural,1,three old yellow ducks
en,duck,yellow,old,plural,2,four old yellow ducks
en,duck,yellow,old,plural,3,five old yellow ducks
en,duck,yellow,old,plural,4,six old yellow ducks
en,duck,yellow,old,plural,5,seven old yellow ducks
en,duck,yellow,old,plural,6,eight old yellow ducks
en,duck,black,small,nom,,the small black duck
en,duck,black,small,acc,,the small black duck
en,duck,black,small,dat,,the small black duck
en,duck,black,small,plural,0,two small black ducks
en,duck,black,small,plural,1,three small black ducks
en,duck,black,small,plural,2,four small black ducks
en,duck,black,small,plural,3,five small black ducks
en,duck,black,small,plural,4,six small black ducks
en,duck,black,small,plural,5,seven small black ducks
en,duck,black,small,plural,6,eight small black ducks
en,duck,black,large,nom,,the large black duck
en,duck,black,large,acc,,the large black duck
en,duck,black,large,dat,,the large black duck
en,duck,black,large,plural,0,two large black ducks
en,duck,black,large,plural,1,three large black ducks
en,duck,black,large,plural,2,four large black ducks
en,duck,black,large,plural,3,five large black ducks
